Country,Population,GDP (billions),GDP (per capita),GDP (per km2),Land Area (km2),Population Density (per km2),Foreign Born Population,Foreign Born Population (percent),Population Living Abroad,Population Living Abroad (percent),Happy Planet Index,World Happiness Report Score,Human Development Index,Health Expenditure,Education Expenditure
Albania,2900000,34.2,11840,1248266,27398,105,57616,3.1,1122910,27.94,20.2,4.64,0.785,774,NA
Armenia,3000000,25.8,8621,914796,28203,103,191199,10.6,937299,23.7,25.7,4.29,0.755,883,89.77
Bahamas,400000,9,24555,899101,10010,39,59306,16.3,40095,9.35,NA,NA,0.807,1699,NA
Bahrain,1300000,66.9,50704,88026316,760,1936,704137,54.7,55964,4,NA,6.23,0.846,2453,616.5
Barbados,300000,4.8,17100,11162791,430,664,34475,11.3,98464,26.16,NA,NA,0.8,1234,1013
Belize,400000,3.1,8220,135929,22806,16,53860,15,59884,14.29,33.8,NA,0.708,524,313.7
Bhutan,800000,6.5,8227,169297,38394,21,51106,6.7,44190,5.4,28.6,NA,0.612,287,147.9
Bosnia and Herzegovina,3900000,42.2,10958,824428,51187,68,34803,0.6,1650772,30.23,25.3,5.09,0.768,1102,227.6
Botswana,2200000,36.7,17042,64757,566730,4,160644,7.2,58346,2.51,16.6,3.5,0.717,970,NA
Brunei Darussalam,400000,32.5,76884,6172840,5265,81,102733,49.3,46237,9.85,NA,NA,0.853,2083,1392.6
Cabo Verde,500000,3.5,6662,867840,4033,136,14924,3,165732,24,NA,NA,0.654,310,175.2
Central African Republic,4900000,3.2,652,5137,622984,7,81598,2.9,440745,8.17,NA,3.48,0.367,32,NA
Comoros,800000,1.3,1529,581655,2235,437,12555,1.7,116516,12.74,23.1,NA,0.752,121,41.5
"Congo, Republic of",4500000,29.8,6676,87262,341500,15,392996,9.7,220501,4.56,18.8,4.88,0.606,203,NA
Costa Rica,4900000,80.7,16436,1580494,51060,96,421697,8.7,133185,2.7,44.7,7.23,0.794,1286,729.2
Croatia,4200000,95.1,22795,1699003,55974,74,576883,17.6,865147,16.95,30.2,5.34,0.831,1656,NA
Cyprus,800000,29.7,34970,3213938,9241,128,196167,18.2,177185,13.2,30.7,6.06,0.869,2137,NA
Djibouti,1000000,3.3,3370,142364,23180,41,112351,14.2,15927,1.76,16.4,NA,0.476,147,NA
Dominica,100000,0.8,11375,1065246,751,99,6720,8.9,69817,49.11,NA,NA,0.715,586,NA
Equatorial Guinea,800000,31.7,38639,1130084,28051,45,10825,1.3,81029,8.75,NA,NA,0.591,790,NA
Estonia,1300000,38.5,29313,908276,42388,31,202348,16.4,198042,13.11,17.9,5.94,0.871,1887,NA
Eswatini,1100000,11.1,9776,645199,17204,79,31579,2,95671,6.92,15.5,NA,0.588,NA,NA
Fiji,900000,8.3,9268,454197,18274,50,13751,2.5,204934,18.65,NA,NA,0.741,331,NA
Gabon,1900000,35.9,19057,139327,257667,8,268384,23.6,63209,3.53,17.5,4.78,0.702,481,NA
Gambia,2100000,3.4,1667,335968,10120,208,192540,8.8,89639,4.31,NA,NA,0.46,NA,NA
Georgia,3700000,37.2,10044,533716,69700,65,168802,4.4,838430,17.33,31.1,4.45,0.78,718,NA
Guinea-Bissau,1700000,2.9,1730,103129,28120,66,22333,1.1,101828,5.67,NA,NA,0.455,100,NA
Guyana,800000,6,7873,30480,196849,4,15384,1.7,460286,37.03,NA,NA,0.654,336,NA
Iceland,300000,16.5,49136,164589,100250,3,37522,10.7,38496,10.46,31.1,7.48,0.935,4116,NA
Ireland,4700000,324.9,69231,4716694,68883,70,746260,15.9,882022,15.83,30,7.06,0.938,5335,NA
Jamaica,2800000,25.4,8976,2345120,10831,267,23167,1.3,1067455,27.61,36.9,5.89,0.732,511,292.4
Kiribati,100000,0.2,1823,246609,811,144,3153,2.6,4717,4.33,NA,NA,0.612,152,NA
Kosovo,1900000,18.4,9600,1690089,10887,168,NA,NA,NA,NA,NA,6.15,NA,NA,NA
Kuwait,4200000,303.7,71887,17044562,17818,232,2866136,70,187871,4.2,NA,6.09,0.803,2978,NA
Latvia,2000000,50.6,25710,812864,62249,31,263126,13.8,337678,14.63,17.1,6.09,0.847,1429,828.1
Lebanon,4600000,85.2,18525,8328446,10230,595,1997776,33.3,798140,11.96,21.9,5.15,0.757,1117,NA
Lesotho,1900000,7,3601,230605,30355,74,6572,0.1,363763,14.56,16.7,NA,0.52,251,NA
